CompanionKey,RespondentID,CompanionGroup,dwh_create_date
1,89100,Friends,2025-09-14 10:55:31.923000000
2,89100,Boyfriend / Girlfriend,2025-09-14 10:55:31.923000000
3,89101,Family,2025-09-14 10:55:31.923000000
4,89101,Friends,2025-09-14 10:55:31.923000000
5,89102,Friends,2025-09-14 10:55:31.923000000
6,89613,Colleagues / Business partner,2025-09-14 10:55:31.923000000
7,89613,Friends,2025-09-14 10:55:31.923000000
8,89616,Friends,2025-09-14 10:55:31.923000000
9,89618,Boyfriend / Girlfriend,2025-09-14 10:55:31.923000000
10,89618,Friends,2025-09-14 10:55:31.923000000
11,89963,Alone,2025-09-14 10:55:31.923000000
12,89963,Friends,2025-09-14 10:55:31.923000000
13,89963,Family,2025-09-14 10:55:31.923000000
14,89965,Friends,2025-09-14 10:55:31.923000000
15,89967,Family,2025-09-14 10:55:31.923000000
16,90338,Friends,2025-09-14 10:55:31.923000000
17,90339,Family,2025-09-14 10:55:31.923000000
18,90418,Colleagues / Business partner,2025-09-14 10:55:31.923000000
19,90419,Family,2025-09-14 10:55:31.923000000
20,90419,Friends,2025-09-14 10:55:31.923000000
21,90421,Friends,2025-09-14 10:55:31.923000000
22,90422,Family,2025-09-14 10:55:31.923000000
23,90422,Friends,2025-09-14 10:55:31.923000000
24,90423,Friends,2025-09-14 10:55:31.923000000
25,90424,Alone,2025-09-14 10:55:31.923000000
26,90424,Boyfriend / Girlfriend,2025-09-14 10:55:31.923000000
27,90424,Friends,2025-09-14 10:55:31.923000000
28,90519,Family,2025-09-14 10:55:31.923000000
29,90519,Friends,2025-09-14 10:55:31.923000000
30,91139,Family,2025-09-14 10:55:31.923000000
31,91140,Alone,2025-09-14 10:55:31.923000000
32,91142,Friends,2025-09-14 10:55:31.923000000
33,91143,Family,2025-09-14 10:55:31.923000000
34,91143,Alone,2025-09-14 10:55:31.923000000
35,91323,Friends,2025-09-14 10:55:31.923000000
36,91439,Friends,2025-09-14 10:55:31.923000000
37,91489,Friends,2025-09-14 10:55:31.923000000
38,91490,Friends,2025-09-14 10:55:31.923000000
39,91770,Family,2025-09-14 10:55:31.923000000
40,91770,Friends,2025-09-14 10:55:31.923000000
41,91801,Alone,2025-09-14 10:55:31.923000000
42,91852,Colleagues / Business partner,2025-09-14 10:55:31.923000000
43,91852,Family,2025-09-14 10:55:31.923000000
44,91852,Friends,2025-09-14 10:55:31.923000000
