DayPartKey,RespondentID,CityID,DayPart,VisitFreq,Year,dwh_create_date
1,89100,2,2 PM - before 5 PM,2,2017,2025-09-19 16:08:15.290000000
2,89100,2,11 AM - before 2 PM,2,2017,2025-09-19 16:08:15.290000000
3,89100,2,9 PM or later,4,2017,2025-09-19 16:08:15.290000000
4,89100,2,5 PM - before 9 PM,4,2017,2025-09-19 16:08:15.290000000
5,89101,2,5 PM - before 9 PM,1,2017,2025-09-19 16:08:15.290000000
6,89101,2,Before 9 AM,2,2017,2025-09-19 16:08:15.290000000
7,89102,2,9 AM - before 11 AM,2,2017,2025-09-19 16:08:15.290000000
8,89102,2,2 PM - before 5 PM,4,2017,2025-09-19 16:08:15.290000000
9,89102,2,5 PM - before 9 PM,1,2017,2025-09-19 16:08:15.290000000
10,89102,2,11 AM - before 2 PM,3,2017,2025-09-19 16:08:15.290000000
11,89613,2,5 PM - before 9 PM,4,2017,2025-09-19 16:08:15.290000000
12,89616,2,9 AM - before 11 AM,10,2017,2025-09-19 16:08:15.290000000
13,89618,2,2 PM - before 5 PM,1,2017,2025-09-19 16:08:15.290000000
14,89618,2,5 PM - before 9 PM,2,2017,2025-09-19 16:08:15.290000000
15,89963,2,2 PM - before 5 PM,20,2017,2025-09-19 16:08:15.290000000
16,89963,2,Before 9 AM,10,2017,2025-09-19 16:08:15.290000000
17,89965,2,9 AM - before 11 AM,4,2017,2025-09-19 16:08:15.290000000
18,89965,2,Before 9 AM,4,2017,2025-09-19 16:08:15.290000000
19,89967,2,Before 9 AM,4,2017,2025-09-19 16:08:15.290000000
20,90338,2,Before 9 AM,8,2017,2025-09-19 16:08:15.290000000
21,90339,2,Before 9 AM,3,2017,2025-09-19 16:08:15.290000000
22,90418,2,11 AM - before 2 PM,3,2017,2025-09-19 16:08:15.290000000
23,90418,2,Before 9 AM,1,2017,2025-09-19 16:08:15.290000000
24,90419,2,5 PM - before 9 PM,4,2017,2025-09-19 16:08:15.290000000
25,90421,2,5 PM - before 9 PM,4,2017,2025-09-19 16:08:15.290000000
26,90421,2,Before 9 AM,20,2017,2025-09-19 16:08:15.290000000
27,90422,2,11 AM - before 2 PM,5,2017,2025-09-19 16:08:15.290000000
28,90422,2,2 PM - before 5 PM,5,2017,2025-09-19 16:08:15.290000000
29,90423,2,5 PM - before 9 PM,3,2017,2025-09-19 16:08:15.290000000
30,90424,2,Before 9 AM,3,2017,2025-09-19 16:08:15.290000000
31,90424,2,2 PM - before 5 PM,3,2017,2025-09-19 16:08:15.290000000
32,90424,2,11 AM - before 2 PM,4,2017,2025-09-19 16:08:15.290000000
33,90424,2,5 PM - before 9 PM,2,2017,2025-09-19 16:08:15.290000000
34,90519,2,5 PM - before 9 PM,4,2017,2025-09-19 16:08:15.290000000
35,91139,2,Before 9 AM,2,2017,2025-09-19 16:08:15.290000000
36,91140,2,11 AM - before 2 PM,4,2017,2025-09-19 16:08:15.290000000
37,91142,2,5 PM - before 9 PM,2,2017,2025-09-19 16:08:15.290000000
38,91142,2,2 PM - before 5 PM,1,2017,2025-09-19 16:08:15.290000000
39,91143,2,5 PM - before 9 PM,2,2017,2025-09-19 16:08:15.290000000
40,91143,2,Before 9 AM,10,2017,2025-09-19 16:08:15.290000000
41,91323,2,Before 9 AM,8,2017,2025-09-19 16:08:15.290000000
42,91439,2,5 PM - before 9 PM,3,2017,2025-09-19 16:08:15.290000000
43,91489,2,5 PM - before 9 PM,8,2017,2025-09-19 16:08:15.290000000
44,91490,2,5 PM - before 9 PM,5,2017,2025-09-19 16:08:15.290000000
45,91490,2,Before 9 AM,3,2017,2025-09-19 16:08:15.290000000
46,91770,2,2 PM - before 5 PM,4,2017,2025-09-19 16:08:15.290000000
47,91770,2,5 PM - before 9 PM,5,2017,2025-09-19 16:08:15.290000000
48,91801,2,Before 9 AM,8,2017,2025-09-19 16:08:15.290000000
49,91852,2,Before 9 AM,10,2017,2025-09-19 16:08:15.290000000
50,91852,2,5 PM - before 9 PM,6,2017,2025-09-19 16:08:15.290000000
51,91853,2,Before 9 AM,1,2017,2025-09-19 16:08:15.290000000
52,91853,2,5 PM - before 9 PM,3,2017,2025-09-19 16:08:15.290000000
53,91854,2,5 PM - before 9 PM,2,2017,2025-09-19 16:08:15.290000000
54,91854,2,2 PM - before 5 PM,2,2017,2025-09-19 16:08:15.290000000
55,91854,2,9 AM - before 11 AM,8,2017,2025-09-19 16:08:15.290000000
56,91855,2,9 AM - before 11 AM,10,2017,2025-09-19 16:08:15.290000000
57,91855,2,2 PM - before 5 PM,8,2017,2025-09-19 16:08:15.290000000
58,92021,2,5 PM - before 9 PM,8,2017,2025-09-19 16:08:15.290000000
59,92021,2,9 AM - before 11 AM,4,2017,2025-09-19 16:08:15.290000000
60,92022,2,11 AM - before 2 PM,4,2017,2025-09-19 16:08:15.290000000
61,92023,2,5 PM - before 9 PM,8,2017,2025-09-19 16:08:15.290000000
62,92071,2,9 AM - before 11 AM,2,2017,2025-09-19 16:08:15.290000000
63,92071,2,5 PM - before 9 PM,2,2017,2025-09-19 16:08:15.290000000
64,92072,2,9 AM - before 11 AM,4,2017,2025-09-19 16:08:15.290000000
65,92073,2,9 AM - before 11 AM,3,2017,2025-09-19 16:08:15.290000000
66,92073,2,11 AM - before 2 PM,1,2017,2025-09-19 16:08:15.290000000
67,92075,2,2 PM - before 5 PM,3,2017,2025-09-19 16:08:15.290000000
68,92075,2,Before 9 AM,7,2017,2025-09-19 16:08:15.290000000
69,92076,2,2 PM - before 5 PM,3,2017,2025-09-19 16:08:15.290000000
70,92078,2,5 PM - before 9 PM,4,2017,2025-09-19 16:08:15.290000000
71,92079,2,9 AM - before 11 AM,4,2017,2025-09-19 16:08:15.290000000
72,92079,2,2 PM - before 5 PM,4,2017,2025-09-19 16:08:15.290000000
73,92157,2,9 AM - before 11 AM,3,2017,2025-09-19 16:08:15.290000000
74,92157,2,5 PM - before 9 PM,5,2017,2025-09-19 16:08:15.290000000
75,92182,2,5 PM - before 9 PM,4,2017,2025-09-19 16:08:15.290000000
76,92183,2,9 AM - before 11 AM,4,2017,2025-09-19 16:08:15.290000000
77,92200,2,Before 9 AM,2,2017,2025-09-19 16:08:15.290000000
78,92200,2,9 AM - before 11 AM,1,2017,2025-09-19 16:08:15.290000000
79,92316,2,5 PM - before 9 PM,4,2017,2025-09-19 16:08:15.290000000
80,92316,2,9 AM - before 11 AM,4,2017,2025-09-19 16:08:15.290000000
81,92316,2,2 PM - before 5 PM,4,2017,2025-09-19 16:08:15.290000000
82,92317,2,5 PM - before 9 PM,3,2017,2025-09-19 16:08:15.290000000
83,92317,2,Before 9 AM,3,2017,2025-09-19 16:08:15.290000000
84,92564,2,5 PM - before 9 PM,3,2017,2025-09-19 16:08:15.290000000
85,92584,2,5 PM - before 9 PM,4,2017,2025-09-19 16:08:15.290000000
86,92584,2,9 AM - before 11 AM,4,2017,2025-09-19 16:08:15.290000000
87,92610,2,Before 9 AM,13,2017,2025-09-19 16:08:15.290000000
88,92610,2,5 PM - before 9 PM,17,2017,2025-09-19 16:08:15.290000000
89,92615,2,5 PM - before 9 PM,7,2017,2025-09-19 16:08:15.290000000
90,92615,2,Before 9 AM,5,2017,2025-09-19 16:08:15.290000000
91,92616,2,Before 9 AM,2,2017,2025-09-19 16:08:15.290000000
92,92616,2,9 AM - before 11 AM,2,2017,2025-09-19 16:08:15.290000000
93,92622,2,Before 9 AM,4,2017,2025-09-19 16:08:15.290000000
94,92622,2,5 PM - before 9 PM,4,2017,2025-09-19 16:08:15.290000000
95,92639,2,5 PM - before 9 PM,4,2017,2025-09-19 16:08:15.290000000
96,92640,2,5 PM - before 9 PM,1,2017,2025-09-19 16:08:15.290000000
97,92640,2,9 PM or later,1,2017,2025-09-19 16:08:15.290000000
98,92641,2,9 PM or later,2,2017,2025-09-19 16:08:15.290000000
99,92641,2,5 PM - before 9 PM,10,2017,2025-09-19 16:08:15.290000000
100,92690,2,Before 9 AM,20,2017,2025-09-19 16:08:15.290000000
101,92690,2,9 AM - before 11 AM,10,2017,2025-09-19 16:08:15.290000000
102,92719,2,9 PM or later,1,2017,2025-09-19 16:08:15.290000000
103,92719,2,5 PM - before 9 PM,3,2017,2025-09-19 16:08:15.290000000
104,92738,2,Before 9 AM,3,2017,2025-09-19 16:08:15.290000000
105,92810,2,2 PM - before 5 PM,2,2017,2025-09-19 16:08:15.290000000
106,92810,2,Before 9 AM,1,2017,2025-09-19 16:08:15.290000000
107,92812,2,5 PM - before 9 PM,2,2017,2025-09-19 16:08:15.290000000
108,92812,2,11 AM - before 2 PM,1,2017,2025-09-19 16:08:15.290000000
109,92813,2,5 PM - before 9 PM,2,2017,2025-09-19 16:08:15.290000000
110,92813,2,9 AM - before 11 AM,2,2017,2025-09-19 16:08:15.290000000
111,92815,2,2 PM - before 5 PM,4,2017,2025-09-19 16:08:15.290000000
112,92816,2,5 PM - before 9 PM,10,2017,2025-09-19 16:08:15.290000000
113,92820,2,5 PM - before 9 PM,8,2017,2025-09-19 16:08:15.290000000
114,92821,2,Before 9 AM,12,2017,2025-09-19 16:08:15.290000000
