RespondentKey,RespondentID,CityID,GroupSize,Age,Gender,TopOfMind,BrandUseMostOften,BrandUseMostOften_Previous,MostFavourite,AgeGroup,MPI,Occupation,OccupationGroup,Year,MPI_Mean_Use,,,,,,,
1,89100,2,4,39,Female,Independent Cafe,Street Coffee,Independent Cafe,Independent Cafe,35 - 39 ,N/A,Small Business (small shop owner,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
2,89101,2,4,33,Female,Independent Cafe,Saigon Café,Effoc,Saigon Café,30 - 34 ,N/A,Housewife,None Working,2017,N/A,,,,,,,
3,89102,2,4,17,Male,Highlands Coffee,Highlands Coffee,The Coffee House,Highlands Coffee,16 - 19 ,N/A,Pupil / Student,None Working,2017,N/A,,,,,,,
4,89613,2,3,55,Male,Trung Nguyên,Trung Nguyên,Don't have any brands,Trung Nguyên,45+ ,N/A,Lecturer / Teacher,White Collar,2017,N/A,,,,,,,
5,89616,2,2,60,Male,Trung Nguyên,Trung Nguyên,Don't have any brands,Trung Nguyên,45+ ,N/A,Small Business (small shop owner,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
6,89618,2,2,19,Female,Street Coffee,Street Coffee,Don't have any brands,Street Coffee,16 - 19 ,N/A,Pupil / Student,None Working,2017,N/A,,,,,,,
7,89963,2,4,49,Female,Street Coffee,Street Coffee,Don't have any brands,Trung Nguyên,45+ ,N/A,Housewife,None Working,2017,N/A,,,,,,,
8,89965,2,4,39,Female,Independent Cafe,Independent Cafe,Don't have any brands,Independent Cafe,35 - 39 ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
9,89967,2,2,53,Female,Independent Cafe,Independent Cafe,Trung Nguyên,Independent Cafe,45+ ,N/A,Housewife,None Working,2017,N/A,,,,,,,
10,90338,2,2,50,Female,Trung Nguyên,Highlands Coffee,Trung Nguyên,Highlands Coffee,45+ ,N/A,Small Business (small shop owner,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
11,90339,2,2,36,Female,Phúc Long,Street Coffee,Don't have any brands,Phúc Long,35 - 39 ,N/A,Housewife,None Working,2017,N/A,,,,,,,
12,90418,2,5,27,Female,Independent Cafe,Milano,Don't have any brands,Independent Cafe,25 - 29 ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
13,90419,2,4,44,Female,Highlands Coffee,Highlands Coffee,Don't have any brands,Trung Nguyên,40 - 44 ,N/A,Small Business (small shop owner,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
