2017SegmentationCaseKey,RespondentID,SegmentCode,CustomerType,SpendingRange,Visit,Spending,BrandType,PPA,dwh_create_date
1,89100,Seg.04,Super Premium,100000+,4,400000,Independent,100000,2025-09-20 14:28:49.383000000
2,89100,Seg.03,Premium,60000 - 99000,2,120000,Chain,60000,2025-09-20 14:28:49.383000000
3,89100,Seg.01,Mass,0 - 25000,6,90000,Street,15000,2025-09-20 14:28:49.383000000
4,89101,Seg.01,Mass,0 - 25000,1,10000,Street,10000,2025-09-20 14:28:49.383000000
5,89101,Seg.02,Mass Asp,25000 - 59000,2,60000,Chain,30000,2025-09-20 14:28:49.383000000
6,89102,Seg.02,Mass Asp,25000 - 59000,10,300000,Chain,30000,2025-09-20 14:28:49.383000000
7,89613,Seg.01,Mass,0 - 25000,4,96000,Chain,24000,2025-09-20 14:28:49.383000000
8,89616,Seg.02,Mass Asp,25000 - 59000,4,140000,Chain,35000,2025-09-20 14:28:49.383000000
9,89616,Seg.02,Mass Asp,25000 - 59000,3,84000,Independent,28000,2025-09-20 14:28:49.383000000
10,89616,Seg.01,Mass,0 - 25000,3,60000,Street,20000,2025-09-20 14:28:49.383000000
11,89618,Seg.02,Mass Asp,25000 - 59000,2,50000,Street,25000,2025-09-20 14:28:49.383000000
12,89618,Seg.02,Mass Asp,25000 - 59000,1,39000,Chain,39000,2025-09-20 14:28:49.383000000
13,89963,Seg.01,Mass,0 - 25000,30,360000,Street,12000,2025-09-20 14:28:49.383000000
14,89965,Seg.02,Mass Asp,25000 - 59000,8,240000,Independent,30000,2025-09-20 14:28:49.383000000
15,89967,Seg.02,Mass Asp,25000 - 59000,4,200000,Independent,50000,2025-09-20 14:28:49.383000000
16,90338,Seg.02,Mass Asp,25000 - 59000,8,440000,Chain,55000,2025-09-20 14:28:49.383000000
17,90339,Seg.01,Mass,0 - 25000,3,45000,Street,15000,2025-09-20 14:28:49.383000000
18,90418,Seg.01,Mass,0 - 25000,4,60000,Chain,15000,2025-09-20 14:28:49.383000000
19,90419,Seg.03,Premium,60000 - 99000,4,320000,Chain,80000,2025-09-20 14:28:49.383000000
20,90421,Seg.02,Mass Asp,25000 - 59000,7,210000,Chain,30000,2025-09-20 14:28:49.383000000
21,90421,Seg.01,Mass,0 - 25000,17,221000,Street,13000,2025-09-20 14:28:49.383000000
22,90422,Seg.01,Mass,0 - 25000,10,150000,Street,15000,2025-09-20 14:28:49.383000000
23,90423,Seg.02,Mass Asp,25000 - 59000,1,40000,Chain,40000,2025-09-20 14:28:49.383000000
24,90423,Seg.01,Mass,0 - 25000,2,30000,Street,15000,2025-09-20 14:28:49.383000000
25,90424,Seg.01,Mass,0 - 25000,11,110000,Street,10000,2025-09-20 14:28:49.383000000
26,90424,Seg.02,Mass Asp,25000 - 59000,1,35000,Chain,35000,2025-09-20 14:28:49.383000000
27,90519,Seg.01,Mass,0 - 25000,4,60000,Chain,15000,2025-09-20 14:28:49.383000000
28,91139,Seg.01,Mass,0 - 25000,2,30000,Street,15000,2025-09-20 14:28:49.383000000
29,91140,Seg.01,Mass,0 - 25000,4,40000,Street,10000,2025-09-20 14:28:49.383000000
30,91142,Seg.03,Premium,60000 - 99000,3,270000,Chain,90000,2025-09-20 14:28:49.383000000
31,91143,Seg.01,Mass,0 - 25000,12,180000,Street,15000,2025-09-20 14:28:49.383000000
32,91323,Seg.02,Mass Asp,25000 - 59000,4,100000,Chain,25000,2025-09-20 14:28:49.383000000
33,91323,Seg.01,Mass,0 - 25000,4,48000,Street,12000,2025-09-20 14:28:49.383000000
34,91439,Seg.02,Mass Asp,25000 - 59000,3,150000,Chain,50000,2025-09-20 14:28:49.383000000
35,91489,Seg.02,Mass Asp,25000 - 59000,8,440000,Chain,55000,2025-09-20 14:28:49.383000000
36,91490,Seg.01,Mass,0 - 25000,4,60000,Street,15000,2025-09-20 14:28:49.383000000
37,91490,Seg.02,Mass Asp,25000 - 59000,4,200000,Chain,50000,2025-09-20 14:28:49.383000000
38,91770,Seg.01,Mass,0 - 25000,2,20000,Street,10000,2025-09-20 14:28:49.383000000
39,91770,Seg.02,Mass Asp,25000 - 59000,7,315000,Chain,45000,2025-09-20 14:28:49.383000000
40,91801,Seg.01,Mass,0 - 25000,8,80000,Street,10000,2025-09-20 14:28:49.383000000
41,91852,Seg.01,Mass,0 - 25000,6,120000,Independent,20000,2025-09-20 14:28:49.383000000
42,91852,Seg.02,Mass Asp,25000 - 59000,10,500000,Chain,50000,2025-09-20 14:28:49.383000000
43,91853,Seg.01,Mass,0 - 25000,4,48000,Street,12000,2025-09-20 14:28:49.383000000
44,91854,Seg.01,Mass,0 - 25000,12,120000,Street,10000,2025-09-20 14:28:49.383000000
45,91855,Seg.01,Mass,0 - 25000,18,180000,Street,10000,2025-09-20 14:28:49.383000000
46,92021,Seg.02,Mass Asp,25000 - 59000,3,90000,Independent,30000,2025-09-20 14:28:49.383000000
47,92021,Seg.02,Mass Asp,25000 - 59000,1,25000,Street,25000,2025-09-20 14:28:49.383000000
48,92021,Seg.02,Mass Asp,25000 - 59000,8,376000,Chain,47000,2025-09-20 14:28:49.383000000
49,92022,Seg.02,Mass Asp,25000 - 59000,4,144000,Chain,36000,2025-09-20 14:28:49.383000000
50,92023,Seg.02,Mass Asp,25000 - 59000,8,320000,Chain,40000,2025-09-20 14:28:49.383000000
51,92071,Seg.01,Mass,0 - 25000,4,48000,Street,12000,2025-09-20 14:28:49.383000000
52,92072,Seg.03,Premium,60000 - 99000,1,60000,Chain,60000,2025-09-20 14:28:49.383000000
53,92072,Seg.02,Mass Asp,25000 - 59000,2,50000,Independent,25000,2025-09-20 14:28:49.383000000
54,92072,Seg.01,Mass,0 - 25000,1,15000,Street,15000,2025-09-20 14:28:49.383000000
55,92073,Seg.01,Mass,0 - 25000,1,15000,Street,15000,2025-09-20 14:28:49.383000000
56,92073,Seg.02,Mass Asp,25000 - 59000,2,60000,Independent,30000,2025-09-20 14:28:49.383000000
57,92073,Seg.02,Mass Asp,25000 - 59000,1,40000,Chain,40000,2025-09-20 14:28:49.383000000
58,92075,Seg.02,Mass Asp,25000 - 59000,4,100000,Independent,25000,2025-09-20 14:28:49.383000000
59,92075,Seg.01,Mass,0 - 25000,6,90000,Street,15000,2025-09-20 14:28:49.383000000
60,92076,Seg.01,Mass,0 - 25000,2,20000,Street,10000,2025-09-20 14:28:49.383000000
61,92076,Seg.02,Mass Asp,25000 - 59000,1,50000,Chain,50000,2025-09-20 14:28:49.383000000
62,92078,Seg.04,Super Premium,100000+,4,400000,Chain,100000,2025-09-20 14:28:49.383000000
63,92079,Seg.03,Premium,60000 - 99000,8,480000,Chain,60000,2025-09-20 14:28:49.383000000
64,92157,Seg.02,Mass Asp,25000 - 59000,5,250000,Independent,50000,2025-09-20 14:28:49.383000000
65,92157,Seg.01,Mass,0 - 25000,3,45000,Street,15000,2025-09-20 14:28:49.383000000
66,92182,Seg.02,Mass Asp,25000 - 59000,4,200000,Independent,50000,2025-09-20 14:28:49.383000000
67,92183,Seg.02,Mass Asp,25000 - 59000,4,200000,Chain,50000,2025-09-20 14:28:49.383000000
68,92200,Seg.01,Mass,0 - 25000,2,30000,Street,15000,2025-09-20 14:28:49.383000000
69,92200,Seg.02,Mass Asp,25000 - 59000,1,50000,Chain,50000,2025-09-20 14:28:49.383000000
70,92316,Seg.02,Mass Asp,25000 - 59000,8,400000,Chain,50000,2025-09-20 14:28:49.383000000
71,92316,Seg.02,Mass Asp,25000 - 59000,4,120000,Independent,30000,2025-09-20 14:28:49.383000000
72,92317,Seg.02,Mass Asp,25000 - 59000,6,210000,Chain,35000,2025-09-20 14:28:49.383000000
73,92564,Seg.03,Premium,60000 - 99000,1,75000,Independent,75000,2025-09-20 14:28:49.383000000
74,92564,Seg.01,Mass,0 - 25000,2,40000,Street,20000,2025-09-20 14:28:49.383000000
75,92584,Seg.02,Mass Asp,25000 - 59000,1,30000,Chain,30000,2025-09-20 14:28:49.383000000
76,92584,Seg.01,Mass,0 - 25000,7,140000,Independent,20000,2025-09-20 14:28:49.383000000
77,92610,Seg.01,Mass,0 - 25000,18,270000,Street,15000,2025-09-20 14:28:49.383000000
78,92610,Seg.02,Mass Asp,25000 - 59000,12,300000,Independent,25000,2025-09-20 14:28:49.383000000
79,92615,Seg.02,Mass Asp,25000 - 59000,10,500000,Chain,50000,2025-09-20 14:28:49.383000000
80,92615,Seg.02,Mass Asp,25000 - 59000,2,60000,Independent,30000,2025-09-20 14:28:49.383000000
81,92616,Seg.02,Mass Asp,25000 - 59000,4,120000,Chain,30000,2025-09-20 14:28:49.383000000
82,92622,Seg.02,Mass Asp,25000 - 59000,5,150000,Independent,30000,2025-09-20 14:28:49.383000000
83,92622,Seg.01,Mass,0 - 25000,3,42000,Street,14000,2025-09-20 14:28:49.383000000
84,92639,Seg.01,Mass,0 - 25000,4,48000,Street,12000,2025-09-20 14:28:49.383000000
85,92640,Seg.02,Mass Asp,25000 - 59000,2,80000,Chain,40000,2025-09-20 14:28:49.383000000
86,92641,Seg.01,Mass,0 - 25000,12,144000,Street,12000,2025-09-20 14:28:49.383000000
87,92690,Seg.01,Mass,0 - 25000,30,360000,Street,12000,2025-09-20 14:28:49.383000000
88,92719,Seg.02,Mass Asp,25000 - 59000,3,75000,Independent,25000,2025-09-20 14:28:49.383000000
89,92719,Seg.03,Premium,60000 - 99000,1,60000,Chain,60000,2025-09-20 14:28:49.383000000
90,92738,Seg.02,Mass Asp,25000 - 59000,3,120000,Chain,40000,2025-09-20 14:28:49.383000000
