DayOfWeekKey,RespondentID,CityID,DayOfWeek,VisitFreq,Year,WeekdayEnd,dwh_create_date
1,89100,2,Sunday,4,2017,weekends,00:45.2
2,89100,2,Monday,2,2017,weekdays,00:45.2
3,89100,2,Thursday,2,2017,weekdays,00:45.2
4,89100,2,Friday,2,2017,weekdays,00:45.2
5,89100,2,Saturday,2,2017,weekends,00:45.2
6,89101,2,Sunday,2,2017,weekends,00:45.2
7,89101,2,Saturday,1,2017,weekends,00:45.2
8,89102,2,Tuesday,1,2017,weekdays,00:45.2
9,89102,2,Sunday,2,2017,weekends,00:45.2
10,89102,2,Saturday,2,2017,weekends,00:45.2
11,89102,2,Thursday,3,2017,weekdays,00:45.2
12,89102,2,Friday,2,2017,weekdays,00:45.2
13,89613,2,Saturday,4,2017,weekends,00:45.2
14,89616,2,Friday,2,2017,weekdays,00:45.2
15,89616,2,Sunday,8,2017,weekends,00:45.2
16,89618,2,Saturday,2,2017,weekends,00:45.2
17,89618,2,Wednesday,1,2017,weekdays,00:45.2
18,89963,2,Saturday,5,2017,weekends,00:45.2
19,89963,2,Sunday,5,2017,weekends,00:45.2
20,89963,2,Friday,4,2017,weekdays,00:45.2
21,89963,2,Tuesday,4,2017,weekdays,00:45.2
22,89963,2,Wednesday,4,2017,weekdays,00:45.2
23,89963,2,Monday,4,2017,weekdays,00:45.2
24,89963,2,Thursday,4,2017,weekdays,00:45.2
25,89965,2,Saturday,3,2017,weekends,00:45.2
26,89965,2,Sunday,3,2017,weekends,00:45.2
27,89965,2,Monday,2,2017,weekdays,00:45.2
28,89967,2,Sunday,4,2017,weekends,00:45.2
29,90338,2,Sunday,4,2017,weekends,00:45.2
30,90338,2,Friday,2,2017,weekdays,00:45.2
31,90338,2,Tuesday,1,2017,weekdays,00:45.2
32,90338,2,Thursday,1,2017,weekdays,00:45.2
33,90339,2,Sunday,3,2017,weekends,00:45.2
34,90418,2,Wednesday,2,2017,weekdays,00:45.2
35,90418,2,Friday,2,2017,weekdays,00:45.2
36,90419,2,Saturday,3,2017,weekends,00:45.2
37,90419,2,Sunday,1,2017,weekends,00:45.2
38,90421,2,Monday,3,2017,weekdays,00:45.2
39,90421,2,Tuesday,3,2017,weekdays,00:45.2
40,90421,2,Wednesday,3,2017,weekdays,00:45.2
41,90421,2,Thursday,3,2017,weekdays,00:45.2
42,90421,2,Sunday,4,2017,weekends,00:45.2
43,90421,2,Saturday,4,2017,weekends,00:45.2
44,90421,2,Friday,4,2017,weekdays,00:45.2
45,90422,2,Monday,4,2017,weekdays,00:45.2
46,90422,2,Wednesday,2,2017,weekdays,00:45.2
47,90422,2,Saturday,2,2017,weekends,00:45.2
48,90422,2,Sunday,2,2017,weekends,00:45.2
49,90423,2,Sunday,3,2017,weekends,00:45.2
50,90424,2,Monday,1,2017,weekdays,00:45.2
51,90424,2,Tuesday,1,2017,weekdays,00:45.2
52,90424,2,Wednesday,1,2017,weekdays,00:45.2
53,90424,2,Thursday,1,2017,weekdays,00:45.2
54,90424,2,Saturday,2,2017,weekends,00:45.2
55,90424,2,Friday,2,2017,weekdays,00:45.2
56,90424,2,Sunday,4,2017,weekends,00:45.2
57,90519,2,Saturday,2,2017,weekends,00:45.2
58,90519,2,Sunday,2,2017,weekends,00:45.2
59,91139,2,Saturday,1,2017,weekends,00:45.2
60,91139,2,Sunday,1,2017,weekends,00:45.2
61,91140,2,Thursday,4,2017,weekdays,00:45.2
62,91142,2,Sunday,1,2017,weekends,00:45.2
63,91142,2,Saturday,1,2017,weekends,00:45.2
64,91142,2,Thursday,1,2017,weekdays,00:45.2
65,91143,2,Tuesday,2,2017,weekdays,00:45.2
66,91143,2,Sunday,5,2017,weekends,00:45.2
67,91143,2,Saturday,5,2017,weekends,00:45.2
68,91323,2,Thursday,2,2017,weekdays,00:45.2
69,91323,2,Sunday,3,2017,weekends,00:45.2
70,91323,2,Saturday,3,2017,weekends,00:45.2
71,91439,2,Saturday,1,2017,weekends,00:45.2
72,91439,2,Sunday,2,2017,weekends,00:45.2
73,91489,2,Saturday,2,2017,weekends,00:45.2
74,91489,2,Thursday,2,2017,weekdays,00:45.2
75,91489,2,Sunday,4,2017,weekends,00:45.2
76,91490,2,Sunday,4,2017,weekends,00:45.2
77,91490,2,Monday,2,2017,weekdays,00:45.2
78,91490,2,Thursday,2,2017,weekdays,00:45.2
79,91770,2,Monday,2,2017,weekdays,00:45.2
80,91770,2,Thursday,2,2017,weekdays,00:45.2
81,91770,2,Saturday,2,2017,weekends,00:45.2
82,91770,2,Sunday,3,2017,weekends,00:45.2
83,91801,2,Sunday,4,2017,weekends,00:45.2
84,91801,2,Saturday,4,2017,weekends,00:45.2
85,91852,2,Monday,3,2017,weekdays,00:45.2
86,91852,2,Tuesday,3,2017,weekdays,00:45.2
87,91852,2,Thursday,3,2017,weekdays,00:45.2
88,91852,2,Friday,3,2017,weekdays,00:45.2
89,91852,2,Wednesday,4,2017,weekdays,00:45.2
90,91853,2,Sunday,4,2017,weekends,00:45.2
91,91854,2,Thursday,2,2017,weekdays,00:45.2
92,91854,2,Saturday,4,2017,weekends,00:45.2
93,91854,2,Sunday,6,2017,weekends,00:45.2
94,91855,2,Monday,2,2017,weekdays,00:45.2
95,91855,2,Tuesday,2,2017,weekdays,00:45.2
96,91855,2,Wednesday,2,2017,weekdays,00:45.2
97,91855,2,Thursday,3,2017,weekdays,00:45.2
98,91855,2,Friday,3,2017,weekdays,00:45.2
99,91855,2,Sunday,3,2017,weekends,00:45.2
100,91855,2,Saturday,3,2017,weekends,00:45.2
101,92021,2,Monday,2,2017,weekdays,00:45.2
102,92021,2,Sunday,6,2017,weekends,00:45.2
103,92021,2,Wednesday,4,2017,weekdays,00:45.2
104,92022,2,Sunday,4,2017,weekends,00:45.2
105,92023,2,Saturday,8,2017,weekends,00:45.2
106,92071,2,Saturday,2,2017,weekends,00:45.2
107,92071,2,Sunday,2,2017,weekends,00:45.2
108,92072,2,Sunday,4,2017,weekends,00:45.2
109,92073,2,Tuesday,3,2017,weekdays,00:45.2
110,92073,2,Sunday,1,2017,weekends,00:45.2
111,92075,2,Saturday,6,2017,weekends,00:45.2
112,92075,2,Monday,4,2017,weekdays,00:45.2
113,92076,2,Sunday,3,2017,weekends,00:45.2
114,92078,2,Sunday,4,2017,weekends,00:45.2
115,92079,2,Sunday,4,2017,weekends,00:45.2
116,92079,2,Saturday,4,2017,weekends,00:45.2
117,92157,2,Saturday,3,2017,weekends,00:45.2
118,92157,2,Sunday,5,2017,weekends,00:45.2
119,92182,2,Sunday,2,2017,weekends,00:45.2
120,92182,2,Saturday,2,2017,weekends,00:45.2
121,92183,2,Sunday,4,2017,weekends,00:45.2
122,92200,2,Sunday,3,2017,weekends,00:45.2
123,92316,2,Sunday,6,2017,weekends,00:45.2
124,92316,2,Saturday,6,2017,weekends,00:45.2
125,92317,2,Sunday,3,2017,weekends,00:45.2
126,92317,2,Saturday,3,2017,weekends,00:45.2
127,92564,2,Sunday,3,2017,weekends,00:45.2
128,92584,2,Sunday,4,2017,weekends,00:45.2
129,92584,2,Saturday,4,2017,weekends,00:45.2
130,92610,2,Saturday,6,2017,weekends,00:45.2
131,92610,2,Wednesday,6,2017,weekdays,00:45.2
132,92610,2,Thursday,6,2017,weekdays,00:45.2
133,92610,2,Friday,6,2017,weekdays,00:45.2
134,92610,2,Sunday,6,2017,weekends,00:45.2
135,92615,2,Sunday,6,2017,weekends,00:45.2
136,92615,2,Saturday,4,2017,weekends,00:45.2
137,92615,2,Friday,2,2017,weekdays,00:45.2
138,92616,2,Monday,1,2017,weekdays,00:45.2
139,92616,2,Tuesday,1,2017,weekdays,00:45.2
140,92616,2,Saturday,2,2017,weekends,00:45.2
141,92622,2,Sunday,8,2017,weekends,00:45.2
142,92639,2,Sunday,4,2017,weekends,00:45.2
143,92640,2,Saturday,2,2017,weekends,00:45.2
144,92641,2,Saturday,2,2017,weekends,00:45.2
145,92641,2,Thursday,2,2017,weekdays,00:45.2
146,92641,2,Friday,2,2017,weekdays,00:45.2
147,92641,2,Sunday,6,2017,weekends,00:45.2
148,92690,2,Sunday,5,2017,weekends,00:45.2
149,92690,2,Saturday,5,2017,weekends,00:45.2
150,92690,2,Monday,4,2017,weekdays,00:45.2
151,92690,2,Wednesday,4,2017,weekdays,00:45.2
152,92690,2,Friday,4,2017,weekdays,00:45.2
153,92690,2,Tuesday,4,2017,weekdays,00:45.2
154,92690,2,Thursday,4,2017,weekdays,00:45.2
155,92719,2,Sunday,4,2017,weekends,00:45.2
156,92738,2,Saturday,2,2017,weekends,00:45.2
157,92738,2,Sunday,1,2017,weekends,00:45.2
158,92810,2,Friday,1,2017,weekdays,00:45.2
159,92810,2,Saturday,2,2017,weekends,00:45.2
160,92812,2,Sunday,2,2017,weekends,00:45.2
161,92812,2,Saturday,1,2017,weekends,00:45.2
162,92813,2,Sunday,2,2017,weekends,00:45.2
163,92813,2,Thursday,2,2017,weekdays,00:45.2
164,92815,2,Monday,1,2017,weekdays,00:45.2
165,92815,2,Sunday,3,2017,weekends,00:45.2
166,92816,2,Saturday,5,2017,weekends,00:45.2
167,92816,2,Sunday,5,2017,weekends,00:45.2
168,92820,2,Saturday,2,2017,weekends,00:45.2
169,92820,2,Friday,2,2017,weekdays,00:45.2
170,92820,2,Sunday,4,2017,weekends,00:45.2
171,92821,2,Saturday,4,2017,weekends,00:45.2
172,92821,2,Monday,3,2017,weekdays,00:45.2
173,92821,2,Tuesday,3,2017,weekdays,00:45.2
174,92821,2,Wednesday,3,2017,weekdays,00:45.2
175,92821,2,Sunday,3,2017,weekends,00:45.2
176,92821,2,Thursday,4,2017,weekdays,00:45.2
177,92821,2,Friday,4,2017,weekdays,00:45.2
178,92839,2,Saturday,2,2017,weekends,00:45.2
179,92839,2,Sunday,2,2017,weekends,00:45.2
180,92874,2,Sunday,4,2017,weekends,00:45.2
181,92874,2,Friday,4,2017,weekdays,00:45.2
182,92874,2,Tuesday,4,2017,weekdays,00:45.2
183,92874,2,Wednesday,4,2017,weekdays,00:45.2
184,92874,2,Monday,4,2017,weekdays,00:45.2
185,92874,2,Thursday,4,2017,weekdays,00:45.2
186,92874,2,Saturday,6,2017,weekends,00:45.2
187,92875,2,Sunday,4,2017,weekends,00:45.2
188,92875,2,Thursday,2,2017,weekdays,00:45.2
189,92875,2,Saturday,3,2017,weekends,00:45.2
190,92918,2,Sunday,5,2017,weekends,00:45.2
191,92918,2,Saturday,5,2017,weekends,00:45.2
192,92918,2,Thursday,4,2017,weekdays,00:45.2
193,92918,2,Monday,4,2017,weekdays,00:45.2
194,92918,2,Wednesday,4,2017,weekdays,00:45.2
195,92918,2,Tuesday,4,2017,weekdays,00:45.2
196,92918,2,Friday,4,2017,weekdays,00:45.2
197,92972,2,Sunday,5,2017,weekends,00:45.2
198,92972,2,Saturday,4,2017,weekends,00:45.2
199,93048,2,Saturday,4,2017,weekends,00:45.2
200,93048,2,Sunday,5,2017,weekends,00:45.2
201,93048,2,Friday,5,2017,weekdays,00:45.2
202,93048,2,Tuesday,4,2017,weekdays,00:45.2
203,93048,2,Wednesday,4,2017,weekdays,00:45.2
204,93048,2,Monday,4,2017,weekdays,00:45.2
205,93048,2,Thursday,4,2017,weekdays,00:45.2
206,93050,2,Thursday,4,2017,weekdays,00:45.2
207,93050,2,Wednesday,4,2017,weekdays,00:45.2
208,93050,2,Friday,4,2017,weekdays,00:45.2
209,93050,2,Saturday,4,2017,weekends,00:45.2
210,93050,2,Monday,2,2017,weekdays,00:45.2
211,93050,2,Tuesday,2,2017,weekdays,00:45.2
212,93050,2,Sunday,4,2017,weekends,00:45.2
213,93066,2,Saturday,3,2017,weekends,00:45.2
214,93165,2,Tuesday,3,2017,weekdays,00:45.2
215,93165,2,Monday,2,2017,weekdays,00:45.2
216,93165,2,Saturday,4,2017,weekends,00:45.2
217,93165,2,Thursday,4,2017,weekdays,00:45.2
218,93165,2,Wednesday,5,2017,weekdays,00:45.2
219,93165,2,Sunday,6,2017,weekends,00:45.2
220,93165,2,Friday,6,2017,weekdays,00:45.2
221,93166,2,Thursday,1,2017,weekdays,00:45.2
